Date,Close,High,Low,Open,Volume
26-11-2014,368.37,377.698,365.816,376.019,18601700
27-11-2014,369.67,373.992,368.282,370.502,8748030
28-11-2014,376.447,382.838,358.455,369.374,22946500
29-11-2014,375.491,387.601,372.145,376.152,15375600
30-11-2014,378.047,382.527,373.309,375.51,9194440
01-12-2014,379.245,383.662,376.669,378.249,11763000
02-12-2014,381.315,384.038,377.863,379.25,12364100
03-12-2014,375.01,383.026,374.346,381.722,13340100
04-12-2014,369.604,378.655,367.759,375.718,14529600
05-12-2014,376.854,379.192,365.756,369.442,15181800
06-12-2014,374.785,378.448,370.945,376.757,7009320
07-12-2014,375.095,376.292,373.275,374.836,6491650
08-12-2014,361.909,376.029,361.886,374.965,18898700
09-12-2014,352.219,363.067,344.951,361.895,32915500
10-12-2014,346.365,352.384,346.365,352.205,16427700
11-12-2014,350.506,361.357,338.763,344.34,32431300
12-12-2014,352.542,352.983,349.291,350.833,16989800
13-12-2014,347.376,352.381,346.588,352.381,11675900
14-12-2014,351.632,353.316,345.418,346.727,12415200
15-12-2014,345.345,351.815,344.934,351.361,17264200
16-12-2014,327.062,345.859,327.062,345.673,30864900
17-12-2014,319.776,333.954,315.152,326.855,37567900
18-12-2014,311.396,323.709,304.232,319.785,39173000
19-12-2014,317.843,318.533,306.769,311.179,23823100
20-12-2014,329.956,330.325,316.044,317.619,20856700
21-12-2014,320.843,329.629,318.903,329.543,15207600
22-12-2014,331.886,334.117,320.425,321.068,22315100
23-12-2014,334.572,336.287,329.602,332.017,16574200
24-12-2014,322.534,334.741,321.357,334.385,15092300
25-12-2014,319.008,322.67,316.958,322.286,9883640
26-12-2014,327.924,331.424,316.627,319.152,16410500
27-12-2014,315.863,328.911,312.63,327.583,15185200
28-12-2014,317.239,320.028,311.078,316.16,11676600
29-12-2014,312.67,320.267,312.307,317.701,12302500
30-12-2014,310.737,314.809,309.373,312.719,12528300
31-12-2014,320.193,320.193,310.211,310.914,13942900
01-01-2015,314.249,320.435,314.003,320.435,8036550
02-01-2015,315.032,315.839,313.565,314.079,7860650
03-01-2015,281.082,315.15,281.082,314.846,33054400
04-01-2015,264.195,287.23,257.612,281.146,55629100
05-01-2015,274.474,278.341,265.084,265.084,43962800
06-01-2015,286.189,287.553,272.696,274.611,23245700
07-01-2015,294.337,298.754,283.079,286.077,24866800
08-01-2015,283.349,294.135,282.175,294.135,19982500
09-01-2015,290.408,291.114,280.533,282.383,18718600
10-01-2015,274.796,288.127,273.966,287.303,15264300
11-01-2015,265.66,279.638,265.039,274.608,18200800
12-01-2015,267.796,272.203,265.2,266.146,18880300
13-01-2015,225.861,268.277,219.906,267.394,72843904
14-01-2015,178.103,223.894,171.51,223.894,97638704
15-01-2015,209.844,229.067,176.897,176.897,81773504
16-01-2015,208.097,221.591,199.771,209.07,38421000
17-01-2015,199.26,211.731,194.875,207.834,23469700
18-01-2015,210.339,218.695,194.506,200.05,30085100
19-01-2015,214.861,216.728,207.318,211.471,18658300
20-01-2015,211.315,215.241,205.153,212.907,24051100
21-01-2015,226.897,227.788,211.212,211.378,29924600
22-01-2015,233.406,237.019,226.434,227.322,33544600
23-01-2015,232.879,234.845,225.196,233.517,24621700
24-01-2015,247.847,248.21,230.022,232.7,24782500
25-01-2015,253.718,255.074,243.89,247.352,33582700
26-01-2015,273.473,309.384,254.079,254.079,106794000
27-01-2015,263.475,275.48,250.653,273.167,44399000
28-01-2015,233.915,266.535,227.046,263.351,44352200
29-01-2015,233.513,238.706,220.712,233.348,32213400
30-01-2015,226.425,242.851,225.839,232.772,26605200
31-01-2015,217.464,233.504,216.309,226.441,23348200
01-02-2015,226.972,231.574,212.015,216.867,29128500
02-02-2015,238.229,242.175,222.659,226.491,30612100
03-02-2015,227.268,245.957,224.483,237.454,40783700
04-02-2015,226.853,230.058,221.113,227.511,26594300
05-02-2015,217.111,239.405,214.725,227.665,22516400
06-02-2015,222.266,230.51,216.232,216.923,24435300
07-02-2015,227.754,230.299,222.607,222.633,21604200
08-02-2015,223.412,229.438,221.077,227.693,17145200
09-02-2015,220.11,223.977,217.019,223.389,27791300
10-02-2015,219.839,221.807,215.332,220.282,21115100
11-02-2015,219.185,223.406,218.074,219.732,17201900
12-02-2015,221.764,222.199,217.614,219.208,15206200
13-02-2015,235.427,240.259,221.262,221.969,42744400
14-02-2015,257.321,259.808,235.528,235.528,49732500
15-02-2015,234.825,265.611,227.684,257.507,56552400
16-02-2015,233.843,239.521,229.022,234.825,28153700
17-02-2015,243.61,245.775,232.314,233.422,27363100
18-02-2015,236.326,244.251,232.34,243.78,25200800
19-02-2015,240.283,242.672,235.592,236.41,18270500
20-02-2015,243.779,247.101,239.299,240.251,23876700
21-02-2015,244.534,255.32,243.184,243.752,12284200
22-02-2015,235.977,246.392,233.851,244.544,19527000
23-02-2015,238.892,240.109,232.421,235.995,16400000
24-02-2015,238.735,239.901,236.402,238.998,14200400
25-02-2015,237.47,239.34,235.53,238.89,11496200
26-02-2015,236.426,237.71,234.257,237.337,13619400
27-02-2015,253.828,256.653,236.436,236.436,44013900
28-02-2015,254.263,254.692,249.479,253.52,13949300
01-03-2015,260.202,261.66,245.933,254.283,25213700
02-03-2015,275.67,276.301,258.313,260.357,40465700
03-03-2015,281.702,285.796,268.161,275.046,50461300
04-03-2015,273.092,284.225,268.126,281.99,41383000
05-03-2015,276.178,281.667,264.769,272.739,41302400
06-03-2015,272.723,277.608,270.015,275.6,28918900
07-03-2015,276.261,277.854,270.133,272.294,17825900
08-03-2015,274.354,277.858,272.565,276.433,22067900
09-03-2015,289.607,292.701,273.893,274.812,59178200
10-03-2015,291.76,300.044,289.743,289.862,67770800
11-03-2015,296.379,297.391,290.508,291.525,33963900
12-03-2015,294.354,297.088,292.413,296.127,32585200
13-03-2015,285.337,294.498,285.337,294.118,31421500
14-03-2015,281.885,286.342,280.976,284.442,22612300
15-03-2015,286.393,286.529,280.996,281.425,11970100
16-03-2015,290.593,294.112,285.685,285.685,21516100
17-03-2015,285.505,292.365,284.374,290.595,21497200
18-03-2015,256.299,285.336,249.87,285.067,57008000
19-03-2015,260.928,264.244,248.636,255.88,52732000
20-03-2015,261.749,264.848,259.162,260.956,18456700
21-03-2015,260.025,262.196,255.65,261.644,17130100
22-03-2015,267.96,269.747,259.59,259.917,18438100
23-03-2015,266.74,277.297,261.745,267.895,22811900
24-03-2015,245.595,267.003,244.155,266.577,40073700
25-03-2015,246.197,249.19,236.515,247.472,35866900
26-03-2015,248.532,254.354,244.905,246.276,25730000
27-03-2015,247.029,256.811,245.213,248.566,17274900
28-03-2015,252.798,254.205,246.975,246.975,16040900
29-03-2015,242.713,253.139,240.85,252.74,21699400
30-03-2015,247.526,249.242,239.214,242.879,23009600
31-03-2015,244.224,248.73,242.739,247.454,22672000
01-04-2015,247.272,247.541,241.16,244.223,22877200
02-04-2015,253.005,254.461,245.416,247.089,26272600
03-04-2015,254.322,256.043,251.879,253.074,23146600
04-04-2015,253.697,255.258,251.1,254.291,12493500
05-04-2015,260.598,260.675,251.942,253.761,19649200
06-04-2015,255.492,261.798,254.575,260.721,20034200
07-04-2015,253.18,255.805,252.205,255.274,18467400
08-04-2015,245.022,253.847,244.215,253.064,30086400
09-04-2015,243.676,246.118,239.4,244.751,21643500
